date,plant,resource,available_min,required_min
2023-01-01,MTY,CNC-Cell-1,28800,34402
2023-01-01,MTY,CNC-Cell-2,28800,32136
2023-01-01,SLP,Press-1,28800,24926
2023-01-01,SLP,Press-2,28800,22248
2023-01-01,TOL,Drum-Line-1,28800,13184
2023-01-01,QRO,Assy-1,25200,21630
2023-02-01,MTY,CNC-Cell-1,28800,35136
2023-02-01,MTY,CNC-Cell-2,28800,32821
2023-02-01,SLP,Press-1,28800,25457
2023-02-01,SLP,Press-2,28800,22722
2023-02-01,TOL,Drum-Line-1,28800,13465
2023-02-01,QRO,Assy-1,25200,22091
2023-03-01,MTY,CNC-Cell-1,28800,35404
2023-03-01,MTY,CNC-Cell-2,28800,33072
2023-03-01,SLP,Press-1,28800,25652
2023-03-01,SLP,Press-2,28800,22896
2023-03-01,TOL,Drum-Line-1,28800,13568
2023-03-01,QRO,Assy-1,25200,22260
2023-04-01,MTY,CNC-Cell-1,28800,35136
2023-04-01,MTY,CNC-Cell-2,28800,32821
2023-04-01,SLP,Press-1,28800,25457
2023-04-01,SLP,Press-2,28800,22722
2023-04-01,TOL,Drum-Line-1,28800,13465
2023-04-01,QRO,Assy-1,25200,22091
2023-05-01,MTY,CNC-Cell-1,28800,34402
2023-05-01,MTY,CNC-Cell-2,28800,32136
2023-05-01,SLP,Press-1,28800,24926
2023-05-01,SLP,Press-2,28800,22248
2023-05-01,TOL,Drum-Line-1,28800,13184
2023-05-01,QRO,Assy-1,25200,21630
2023-06-01,MTY,CNC-Cell-1,28800,33400
2023-06-01,MTY,CNC-Cell-2,28800,31200
2023-06-01,SLP,Press-1,28800,24200
2023-06-01,SLP,Press-2,28800,21600
2023-06-01,TOL,Drum-Line-1,28800,12800
2023-06-01,QRO,Assy-1,25200,21000
2023-07-01,MTY,CNC-Cell-1,28800,32398
2023-07-01,MTY,CNC-Cell-2,28800,30264
2023-07-01,SLP,Press-1,28800,23474
2023-07-01,SLP,Press-2,28800,20952
2023-07-01,TOL,Drum-Line-1,28800,12416
2023-07-01,QRO,Assy-1,25200,20370
2023-08-01,MTY,CNC-Cell-1,28800,31664
2023-08-01,MTY,CNC-Cell-2,28800,29579
2023-08-01,SLP,Press-1,28800,22943
2023-08-01,SLP,Press-2,28800,20478
2023-08-01,TOL,Drum-Line-1,28800,12135
2023-08-01,QRO,Assy-1,25200,19909
2023-09-01,MTY,CNC-Cell-1,28800,31396
2023-09-01,MTY,CNC-Cell-2,28800,29328
2023-09-01,SLP,Press-1,28800,22748
2023-09-01,SLP,Press-2,28800,20304
2023-09-01,TOL,Drum-Line-1,28800,12032
2023-09-01,QRO,Assy-1,25200,19740
2023-10-01,MTY,CNC-Cell-1,28800,31664
2023-10-01,MTY,CNC-Cell-2,28800,29579
2023-10-01,SLP,Press-1,28800,22943
2023-10-01,SLP,Press-2,28800,20478
2023-10-01,TOL,Drum-Line-1,28800,12135
2023-10-01,QRO,Assy-1,25200,19909
2023-11-01,MTY,CNC-Cell-1,28800,32398
2023-11-01,MTY,CNC-Cell-2,28800,30264
2023-11-01,SLP,Press-1,28800,23474
2023-11-01,SLP,Press-2,28800,20952
2023-11-01,TOL,Drum-Line-1,28800,12416
2023-11-01,QRO,Assy-1,25200,20370
2023-12-01,MTY,CNC-Cell-1,28800,33400
2023-12-01,MTY,CNC-Cell-2,28800,31200
2023-12-01,SLP,Press-1,28800,24200
2023-12-01,SLP,Press-2,28800,21600
2023-12-01,TOL,Drum-Line-1,28800,12800
2023-12-01,QRO,Assy-1,25200,21000
2024-01-01,MTY,CNC-Cell-1,28800,34402
2024-01-01,MTY,CNC-Cell-2,28800,32136
2024-01-01,SLP,Press-1,28800,24926
2024-01-01,SLP,Press-2,28800,22248
2024-01-01,TOL,Drum-Line-1,28800,13184
2024-01-01,QRO,Assy-1,25200,21630
2024-02-01,MTY,CNC-Cell-1,28800,35136
2024-02-01,MTY,CNC-Cell-2,28800,32821
2024-02-01,SLP,Press-1,28800,25457
2024-02-01,SLP,Press-2,28800,22722
2024-02-01,TOL,Drum-Line-1,28800,13465
2024-02-01,QRO,Assy-1,25200,22091
2024-03-01,MTY,CNC-Cell-1,28800,35404
2024-03-01,MTY,CNC-Cell-2,28800,33072
2024-03-01,SLP,Press-1,28800,25652
2024-03-01,SLP,Press-2,28800,22896
2024-03-01,TOL,Drum-Line-1,28800,13568
2024-03-01,QRO,Assy-1,25200,22260
2024-04-01,MTY,CNC-Cell-1,28800,35136
2024-04-01,MTY,CNC-Cell-2,28800,32821
2024-04-01,SLP,Press-1,28800,25457
2024-04-01,SLP,Press-2,28800,22722
2024-04-01,TOL,Drum-Line-1,28800,13465
2024-04-01,QRO,Assy-1,25200,22091
2024-05-01,MTY,CNC-Cell-1,28800,34402
2024-05-01,MTY,CNC-Cell-2,28800,32136
2024-05-01,SLP,Press-1,28800,24926
2024-05-01,SLP,Press-2,28800,22248
2024-05-01,TOL,Drum-Line-1,28800,13184
2024-05-01,QRO,Assy-1,25200,21630
2024-06-01,MTY,CNC-Cell-1,28800,33400
2024-06-01,MTY,CNC-Cell-2,28800,31200
2024-06-01,SLP,Press-1,28800,24200
2024-06-01,SLP,Press-2,28800,21600
2024-06-01,TOL,Drum-Line-1,28800,12800
2024-06-01,QRO,Assy-1,25200,21000
