date,sku,customer,plant,baseline_qty
2024-07-01,RC-EV1,VoltAuto,MTY,6212
2024-07-01,RC-EV2,VoltAuto,MTY,4209
2024-07-01,DP-100,RutaTruck,SLP,9240
2024-07-01,DP-140,AutoNoreste,SLP,7544
2024-07-01,DP-160,RutaTruck,SLP,4514
2024-07-01,DR-200,ClasicoParts,TOL,6104
2024-07-01,DR-240,ClasicoParts,TOL,3372
2024-07-01,HA-300,IndustriaMX,QRO,2724
2024-07-01,HA-360,IndustriaMX,QRO,2309
2024-08-01,RC-EV1,VoltAuto,MTY,6129
2024-08-01,RC-EV2,VoltAuto,MTY,4133
2024-08-01,DP-100,RutaTruck,SLP,8852
2024-08-01,DP-140,AutoNoreste,SLP,7263
2024-08-01,DP-160,RutaTruck,SLP,4389
2024-08-01,DR-200,ClasicoParts,TOL,5615
2024-08-01,DR-240,ClasicoParts,TOL,3054
2024-08-01,HA-300,IndustriaMX,QRO,2623
2024-08-01,HA-360,IndustriaMX,QRO,2234
2024-09-01,RC-EV1,VoltAuto,MTY,5376
2024-09-01,RC-EV2,VoltAuto,MTY,3750
2024-09-01,DP-100,RutaTruck,SLP,9540
2024-09-01,DP-140,AutoNoreste,SLP,7560
2024-09-01,DP-160,RutaTruck,SLP,4264
2024-09-01,DR-200,ClasicoParts,TOL,8040
2024-09-01,DR-240,ClasicoParts,TOL,4880
2024-09-01,HA-300,IndustriaMX,QRO,2730
2024-09-01,HA-360,IndustriaMX,QRO,2247
2024-10-01,RC-EV1,VoltAuto,MTY,6565
2024-10-01,RC-EV2,VoltAuto,MTY,4385
2024-10-01,DP-100,RutaTruck,SLP,8941
2024-10-01,DP-140,AutoNoreste,SLP,7409
2024-10-01,DP-160,RutaTruck,SLP,4567
2024-10-01,DR-200,ClasicoParts,TOL,5229
2024-10-01,DR-240,ClasicoParts,TOL,2756
2024-10-01,HA-300,IndustriaMX,QRO,2675
2024-10-01,HA-360,IndustriaMX,QRO,2303
2024-11-01,RC-EV1,VoltAuto,MTY,7128
2024-11-01,RC-EV2,VoltAuto,MTY,4738
2024-11-01,DP-100,RutaTruck,SLP,9427
2024-11-01,DP-140,AutoNoreste,SLP,7849
2024-11-01,DP-160,RutaTruck,SLP,4886
2024-11-01,DR-200,ClasicoParts,TOL,5293
2024-11-01,DR-240,ClasicoParts,TOL,2746
2024-11-01,HA-300,IndustriaMX,QRO,2835
2024-11-01,HA-360,IndustriaMX,QRO,2451
2024-12-01,RC-EV1,VoltAuto,MTY,7849
2024-12-01,RC-EV2,VoltAuto,MTY,5191
2024-12-01,DP-100,RutaTruck,SLP,10078
2024-12-01,DP-140,AutoNoreste,SLP,8435
2024-12-01,DP-160,RutaTruck,SLP,5302
2024-12-01,DR-200,ClasicoParts,TOL,5434
2024-12-01,DR-240,ClasicoParts,TOL,2776
2024-12-01,HA-300,IndustriaMX,QRO,3046
2024-12-01,HA-360,IndustriaMX,QRO,2647
2025-01-01,RC-EV1,VoltAuto,MTY,8611
2025-01-01,RC-EV2,VoltAuto,MTY,5668
2025-01-01,DP-100,RutaTruck,SLP,10736
2025-01-01,DP-140,AutoNoreste,SLP,9030
2025-01-01,DP-160,RutaTruck,SLP,5733
2025-01-01,DR-200,ClasicoParts,TOL,5557
2025-01-01,DR-240,ClasicoParts,TOL,2795
2025-01-01,HA-300,IndustriaMX,QRO,3261
2025-01-01,HA-360,IndustriaMX,QRO,2847
2025-02-01,RC-EV1,VoltAuto,MTY,9281
2025-02-01,RC-EV2,VoltAuto,MTY,6079
2025-02-01,DP-100,RutaTruck,SLP,11237
2025-02-01,DP-140,AutoNoreste,SLP,9499
2025-02-01,DP-160,RutaTruck,SLP,6089
2025-02-01,DR-200,ClasicoParts,TOL,5585
2025-02-01,DR-240,ClasicoParts,TOL,2766
2025-02-01,HA-300,IndustriaMX,QRO,3430
2025-02-01,HA-360,IndustriaMX,QRO,3010
2025-03-01,RC-EV1,VoltAuto,MTY,9746
2025-03-01,RC-EV2,VoltAuto,MTY,6353
2025-03-01,DP-100,RutaTruck,SLP,11458
2025-03-01,DP-140,AutoNoreste,SLP,9733
2025-03-01,DP-160,RutaTruck,SLP,6302
2025-03-01,DR-200,ClasicoParts,TOL,5469
2025-03-01,DR-240,ClasicoParts,TOL,2666
2025-03-01,HA-300,IndustriaMX,QRO,3514
2025-03-01,HA-360,IndustriaMX,QRO,3100
2025-04-01,RC-EV1,VoltAuto,MTY,9943
2025-04-01,RC-EV2,VoltAuto,MTY,6450
2025-04-01,DP-100,RutaTruck,SLP,11349
2025-04-01,DP-140,AutoNoreste,SLP,9689
2025-04-01,DP-160,RutaTruck,SLP,6335
2025-04-01,DR-200,ClasicoParts,TOL,5202
2025-04-01,DR-240,ClasicoParts,TOL,2496
2025-04-01,HA-300,IndustriaMX,QRO,3499
2025-04-01,HA-360,IndustriaMX,QRO,3101
2025-05-01,RC-EV1,VoltAuto,MTY,9882
2025-05-01,RC-EV2,VoltAuto,MTY,6379
2025-05-01,DP-100,RutaTruck,SLP,10952
2025-05-01,DP-140,AutoNoreste,SLP,9397
2025-05-01,DP-160,RutaTruck,SLP,6205
2025-05-01,DR-200,ClasicoParts,TOL,4820
2025-05-01,DR-240,ClasicoParts,TOL,2277
2025-05-01,HA-300,IndustriaMX,QRO,3394
2025-05-01,HA-360,IndustriaMX,QRO,3023
2025-06-01,RC-EV1,VoltAuto,MTY,9649
2025-06-01,RC-EV2,VoltAuto,MTY,6199
2025-06-01,DP-100,RutaTruck,SLP,10384
2025-06-01,DP-140,AutoNoreste,SLP,8953
2025-06-01,DP-160,RutaTruck,SLP,5970
2025-06-01,DR-200,ClasicoParts,TOL,4387
2025-06-01,DR-240,ClasicoParts,TOL,2040
2025-06-01,HA-300,IndustriaMX,QRO,3233
2025-06-01,HA-360,IndustriaMX,QRO,2894
