date,plant,sku,category,qty,value
2023-12-01,MTY,RC-EV1,RM,9000,198000
2023-12-01,MTY,RC-EV1,WIP,2600,78000
2023-12-01,MTY,RC-EV1,FG,1200,110000
2023-12-01,SLP,DP-100,RM,60000,90000
2023-12-01,SLP,DP-100,WIP,14000,42000
2023-12-01,SLP,DP-100,FG,22000,165000
2023-12-01,TOL,DR-200,RM,30000,132000
2023-12-01,TOL,DR-200,WIP,8000,56000
2023-12-01,TOL,DR-200,FG,41000,690000
2023-12-01,TOL,DR-240,RM,18000,92000
2023-12-01,TOL,DR-240,WIP,4000,34000
2023-12-01,TOL,DR-240,FG,23000,430000
2023-12-01,TOL,DR-900,FG,9000,121000
2023-12-01,QRO,HA-300,RM,12000,168000
2023-12-01,QRO,HA-300,WIP,3000,66000
2023-12-01,QRO,HA-300,FG,5000,198000
2024-03-01,MTY,RC-EV1,RM,9000,198000
2024-03-01,MTY,RC-EV1,WIP,2600,78000
2024-03-01,MTY,RC-EV1,FG,1260,115500
2024-03-01,SLP,DP-100,RM,60000,90000
2024-03-01,SLP,DP-100,WIP,14000,42000
2024-03-01,SLP,DP-100,FG,23100,173250
2024-03-01,TOL,DR-200,RM,30000,132000
2024-03-01,TOL,DR-200,WIP,8000,56000
2024-03-01,TOL,DR-200,FG,43050,724500
2024-03-01,TOL,DR-240,RM,18000,92000
2024-03-01,TOL,DR-240,WIP,4000,34000
2024-03-01,TOL,DR-240,FG,24150,451500
2024-03-01,TOL,DR-900,FG,9450,127050
2024-03-01,QRO,HA-300,RM,12000,168000
2024-03-01,QRO,HA-300,WIP,3000,66000
2024-03-01,QRO,HA-300,FG,5250,207900
2024-06-01,MTY,RC-EV1,RM,9000,198000
2024-06-01,MTY,RC-EV1,WIP,2600,78000
2024-06-01,MTY,RC-EV1,FG,1320,121000
2024-06-01,SLP,DP-100,RM,60000,90000
2024-06-01,SLP,DP-100,WIP,14000,42000
2024-06-01,SLP,DP-100,FG,24200,181500
2024-06-01,TOL,DR-200,RM,30000,132000
2024-06-01,TOL,DR-200,WIP,8000,56000
2024-06-01,TOL,DR-200,FG,45100,759000
2024-06-01,TOL,DR-240,RM,18000,92000
2024-06-01,TOL,DR-240,WIP,4000,34000
2024-06-01,TOL,DR-240,FG,25300,473000
2024-06-01,TOL,DR-900,FG,9900,133100
2024-06-01,QRO,HA-300,RM,12000,168000
2024-06-01,QRO,HA-300,WIP,3000,66000
2024-06-01,QRO,HA-300,FG,5500,217800
