date,sku,customer,plant,qty,revenue
2023-01-01,RC-EV1,VoltAuto,MTY,4452,747936
2023-01-01,RC-EV2,VoltAuto,MTY,3180,483360
2023-01-01,DP-100,RutaTruck,SLP,9540,181260
2023-01-01,DP-140,AutoNoreste,SLP,7420,207760
2023-01-01,DP-160,RutaTruck,SLP,5512,187408
2023-01-01,DR-200,ClasicoParts,TOL,6360,146280
2023-01-01,DR-240,ClasicoParts,TOL,4240,114480
2023-01-01,HA-300,IndustriaMX,QRO,2756,143312
2023-01-01,HA-360,IndustriaMX,QRO,2226,164724
2023-02-01,RC-EV1,VoltAuto,MTY,4799,806232
2023-02-01,RC-EV2,VoltAuto,MTY,3411,518472
2023-02-01,DP-100,RutaTruck,SLP,9985,189715
2023-02-01,DP-140,AutoNoreste,SLP,7805,218540
2023-02-01,DP-160,RutaTruck,SLP,5855,199070
2023-02-01,DR-200,ClasicoParts,TOL,6392,147016
2023-02-01,DR-240,ClasicoParts,TOL,4195,113265
2023-02-01,HA-300,IndustriaMX,QRO,2899,150748
2023-02-01,HA-360,IndustriaMX,QRO,2353,174122
2023-03-01,RC-EV1,VoltAuto,MTY,5039,846552
2023-03-01,RC-EV2,VoltAuto,MTY,3565,541880
2023-03-01,DP-100,RutaTruck,SLP,10181,193439
2023-03-01,DP-140,AutoNoreste,SLP,7998,223944
2023-03-01,DP-160,RutaTruck,SLP,6059,206006
2023-03-01,DR-200,ClasicoParts,TOL,6258,143934
2023-03-01,DR-240,ClasicoParts,TOL,4043,109161
2023-03-01,HA-300,IndustriaMX,QRO,2971,154492
2023-03-01,HA-360,IndustriaMX,QRO,2423,179302
2023-04-01,RC-EV1,VoltAuto,MTY,5141,863688
2023-04-01,RC-EV2,VoltAuto,MTY,3619,550088
2023-04-01,DP-100,RutaTruck,SLP,10085,191615
2023-04-01,DP-140,AutoNoreste,SLP,7962,222936
2023-04-01,DP-160,RutaTruck,SLP,6092,207128
2023-04-01,DR-200,ClasicoParts,TOL,5952,136896
2023-04-01,DR-240,ClasicoParts,TOL,3786,102222
2023-04-01,HA-300,IndustriaMX,QRO,2957,153764
2023-04-01,HA-360,IndustriaMX,QRO,2424,179376
2023-05-01,RC-EV1,VoltAuto,MTY,5109,858312
2023-05-01,RC-EV2,VoltAuto,MTY,3579,544008
2023-05-01,DP-100,RutaTruck,SLP,9732,184908
2023-05-01,DP-140,AutoNoreste,SLP,7721,216188
2023-05-01,DP-160,RutaTruck,SLP,5966,202844
2023-05-01,DR-200,ClasicoParts,TOL,5515,126845
2023-05-01,DR-240,ClasicoParts,TOL,3454,93258
2023-05-01,HA-300,IndustriaMX,QRO,2868,149136
2023-05-01,HA-360,IndustriaMX,QRO,2363,174862
2023-06-01,RC-EV1,VoltAuto,MTY,4988,837984
2023-06-01,RC-EV2,VoltAuto,MTY,3478,528656
2023-06-01,DP-100,RutaTruck,SLP,9227,175313
2023-06-01,DP-140,AutoNoreste,SLP,7357,205996
2023-06-01,DP-160,RutaTruck,SLP,5741,195194
2023-06-01,DR-200,ClasicoParts,TOL,5021,115483
2023-06-01,DR-240,ClasicoParts,TOL,3095,83565
2023-06-01,HA-300,IndustriaMX,QRO,2733,142116
2023-06-01,HA-360,IndustriaMX,QRO,2262,167388
2023-07-01,RC-EV1,VoltAuto,MTY,4853,815304
2023-07-01,RC-EV2,VoltAuto,MTY,3367,511784
2023-07-01,DP-100,RutaTruck,SLP,8717,165623
2023-07-01,DP-140,AutoNoreste,SLP,6985,195580
2023-07-01,DP-160,RutaTruck,SLP,5505,187170
2023-07-01,DR-200,ClasicoParts,TOL,4555,104765
2023-07-01,DR-240,ClasicoParts,TOL,2764,74628
2023-07-01,HA-300,IndustriaMX,QRO,2594,134888
2023-07-01,HA-360,IndustriaMX,QRO,2158,159692
2023-08-01,RC-EV1,VoltAuto,MTY,4788,804384
2023-08-01,RC-EV2,VoltAuto,MTY,3306,502512
2023-08-01,DP-100,RutaTruck,SLP,8351,158669
2023-08-01,DP-140,AutoNoreste,SLP,6725,188300
2023-08-01,DP-160,RutaTruck,SLP,5352,181968
2023-08-01,DR-200,ClasicoParts,TOL,4190,96370
2023-08-01,DR-240,ClasicoParts,TOL,2503,67581
2023-08-01,HA-300,IndustriaMX,QRO,2498,129896
2023-08-01,HA-360,IndustriaMX,QRO,2088,154512
2023-10-01,RC-EV1,VoltAuto,MTY,5129,861672
2023-10-01,RC-EV2,VoltAuto,MTY,3508,533216
2023-10-01,DP-100,RutaTruck,SLP,8435,160265
2023-10-01,DP-140,AutoNoreste,SLP,6860,192080
2023-10-01,DP-160,RutaTruck,SLP,5569,189346
2023-10-01,DR-200,ClasicoParts,TOL,3902,89746
2023-10-01,DR-240,ClasicoParts,TOL,2259,60993
2023-10-01,HA-300,IndustriaMX,QRO,2548,132496
2023-10-01,HA-360,IndustriaMX,QRO,2152,159248
2023-11-01,RC-EV1,VoltAuto,MTY,5569,935592
2023-11-01,RC-EV2,VoltAuto,MTY,3790,576080
2023-11-01,DP-100,RutaTruck,SLP,8893,168967
2023-11-01,DP-140,AutoNoreste,SLP,7268,203504
2023-11-01,DP-160,RutaTruck,SLP,5958,202572
2023-11-01,DR-200,ClasicoParts,TOL,3950,90850
2023-11-01,DR-240,ClasicoParts,TOL,2251,60777
2023-11-01,HA-300,IndustriaMX,QRO,2700,140400
2023-11-01,HA-360,IndustriaMX,QRO,2291,169534
2023-12-01,RC-EV1,VoltAuto,MTY,6132,1030176
2023-12-01,RC-EV2,VoltAuto,MTY,4153,631256
2023-12-01,DP-100,RutaTruck,SLP,9508,180652
2023-12-01,DP-140,AutoNoreste,SLP,7810,218680
2023-12-01,DP-160,RutaTruck,SLP,6466,219844
2023-12-01,DR-200,ClasicoParts,TOL,4055,93265
2023-12-01,DR-240,ClasicoParts,TOL,2275,61425
2023-12-01,HA-300,IndustriaMX,QRO,2901,150852
2023-12-01,HA-360,IndustriaMX,QRO,2474,183076
2024-01-01,RC-EV1,VoltAuto,MTY,6727,1130136
2024-01-01,RC-EV2,VoltAuto,MTY,4534,689168
2024-01-01,DP-100,RutaTruck,SLP,10128,192432
2024-01-01,DP-140,AutoNoreste,SLP,8361,234108
2024-01-01,DP-160,RutaTruck,SLP,6991,237694
2024-01-01,DR-200,ClasicoParts,TOL,4147,95381
2024-01-01,DR-240,ClasicoParts,TOL,2291,61857
2024-01-01,HA-300,IndustriaMX,QRO,3106,161512
2024-01-01,HA-360,IndustriaMX,QRO,2661,196914
2024-02-01,RC-EV1,VoltAuto,MTY,7251,1218168
2024-02-01,RC-EV2,VoltAuto,MTY,4863,739176
2024-02-01,DP-100,RutaTruck,SLP,10601,201419
2024-02-01,DP-140,AutoNoreste,SLP,8795,246260
2024-02-01,DP-160,RutaTruck,SLP,7426,252484
2024-02-01,DR-200,ClasicoParts,TOL,4168,95864
2024-02-01,DR-240,ClasicoParts,TOL,2267,61209
2024-02-01,HA-300,IndustriaMX,QRO,3267,169884
2024-02-01,HA-360,IndustriaMX,QRO,2813,208162
2024-03-01,RC-EV1,VoltAuto,MTY,7614,1279152
2024-03-01,RC-EV2,VoltAuto,MTY,5082,772464
2024-03-01,DP-100,RutaTruck,SLP,10809,205371
2024-03-01,DP-140,AutoNoreste,SLP,9012,252336
2024-03-01,DP-160,RutaTruck,SLP,7685,261290
2024-03-01,DR-200,ClasicoParts,TOL,4081,93863
2024-03-01,DR-240,ClasicoParts,TOL,2185,58995
2024-03-01,HA-300,IndustriaMX,QRO,3347,174044
2024-03-01,HA-360,IndustriaMX,QRO,2897,214378
2024-04-01,RC-EV1,VoltAuto,MTY,7768,1305024
2024-04-01,RC-EV2,VoltAuto,MTY,5160,784320
2024-04-01,DP-100,RutaTruck,SLP,10707,203433
2024-04-01,DP-140,AutoNoreste,SLP,8971,251188
2024-04-01,DP-160,RutaTruck,SLP,7726,262684
2024-04-01,DR-200,ClasicoParts,TOL,3882,89286
2024-04-01,DR-240,ClasicoParts,TOL,2046,55242
2024-04-01,HA-300,IndustriaMX,QRO,3332,173264
2024-04-01,HA-360,IndustriaMX,QRO,2898,214452
2024-05-01,RC-EV1,VoltAuto,MTY,7720,1296960
2024-05-01,RC-EV2,VoltAuto,MTY,5103,775656
2024-05-01,DP-100,RutaTruck,SLP,10332,196308
2024-05-01,DP-140,AutoNoreste,SLP,8701,243628
2024-05-01,DP-160,RutaTruck,SLP,7567,257278
2024-05-01,DR-200,ClasicoParts,TOL,3597,82731
2024-05-01,DR-240,ClasicoParts,TOL,1866,50382
2024-05-01,HA-300,IndustriaMX,QRO,3232,168064
2024-05-01,HA-360,IndustriaMX,QRO,2825,209050
2024-06-01,RC-EV1,VoltAuto,MTY,7538,1266384
2024-06-01,RC-EV2,VoltAuto,MTY,4959,753768
2024-06-01,DP-100,RutaTruck,SLP,9796,186124
2024-06-01,DP-140,AutoNoreste,SLP,8290,232120
2024-06-01,DP-160,RutaTruck,SLP,7281,247554
2024-06-01,DR-200,ClasicoParts,TOL,3274,75302
2024-06-01,DR-240,ClasicoParts,TOL,1672,45144
2024-06-01,HA-300,IndustriaMX,QRO,3079,160108
2024-06-01,HA-360,IndustriaMX,QRO,2705,200170
