month,family,budget_revenue
2026-01,Smart Home,238419
2026-01,Climate Control,85238
2026-01,Connectivity,101539
2026-01,Power & Sensing,389336
2026-02,Smart Home,248500
2026-02,Climate Control,95299
2026-02,Connectivity,123622
2026-02,Power & Sensing,404108
2026-03,Smart Home,258146
2026-03,Climate Control,102523
2026-03,Connectivity,123381
2026-03,Power & Sensing,434246
2026-04,Smart Home,285399
2026-04,Climate Control,118568
2026-04,Connectivity,136204
2026-04,Power & Sensing,516296
2026-05,Smart Home,298770
2026-05,Climate Control,119394
2026-05,Connectivity,148838
2026-05,Power & Sensing,515000
2026-06,Smart Home,326594
2026-06,Climate Control,117492
2026-06,Connectivity,142942
2026-06,Power & Sensing,524276
2026-07,Smart Home,301023
2026-07,Climate Control,128071
2026-07,Connectivity,145999
2026-07,Power & Sensing,511143
2026-08,Smart Home,317814
2026-08,Climate Control,119028
2026-08,Connectivity,149941
2026-08,Power & Sensing,486025
2026-09,Smart Home,261911
2026-09,Climate Control,101363
2026-09,Connectivity,131022
2026-09,Power & Sensing,443182
2026-10,Smart Home,261279
2026-10,Climate Control,95062
2026-10,Connectivity,123505
2026-10,Power & Sensing,419892
2026-11,Smart Home,248429
2026-11,Climate Control,86992
2026-11,Connectivity,111637
2026-11,Power & Sensing,384297
2026-12,Smart Home,214303
2026-12,Climate Control,89017
2026-12,Connectivity,113658
2026-12,Power & Sensing,371298
