date,plant,resource,available_min,required_min
2025-07-01,TLL,SMT Line 1,26000,33923
2025-07-01,TLL,SMT Line 2,24000,28334
2025-07-01,TLL,Assembly A,22000,21788
2025-07-01,KRK,Assembly B,26000,25896
2025-07-01,KRK,Test Cell,18000,14433
2025-07-01,OPO,Assembly C,24000,27468
2025-07-01,OPO,Packaging C,16000,14695
2025-07-01,MUC,Pilot Line,20000,16425
2025-07-01,GDN,Packaging E,18000,16008
2025-08-01,TLL,SMT Line 1,26000,31530
2025-08-01,TLL,SMT Line 2,24000,26917
2025-08-01,TLL,Assembly A,22000,20924
2025-08-01,KRK,Assembly B,26000,24898
2025-08-01,KRK,Test Cell,18000,14474
2025-08-01,OPO,Assembly C,24000,25776
2025-08-01,OPO,Packaging C,16000,14483
2025-08-01,MUC,Pilot Line,20000,16083
2025-08-01,GDN,Packaging E,18000,15639
2025-09-01,TLL,SMT Line 1,26000,30019
2025-09-01,TLL,SMT Line 2,24000,24775
2025-09-01,TLL,Assembly A,22000,19649
2025-09-01,KRK,Assembly B,26000,22230
2025-09-01,KRK,Test Cell,18000,13088
2025-09-01,OPO,Assembly C,24000,25072
2025-09-01,OPO,Packaging C,16000,13011
2025-09-01,MUC,Pilot Line,20000,15071
2025-09-01,GDN,Packaging E,18000,15136
2025-10-01,TLL,SMT Line 1,26000,27841
2025-10-01,TLL,SMT Line 2,24000,24346
2025-10-01,TLL,Assembly A,22000,19372
2025-10-01,KRK,Assembly B,26000,21209
2025-10-01,KRK,Test Cell,18000,12575
2025-10-01,OPO,Assembly C,24000,23351
2025-10-01,OPO,Packaging C,16000,12785
2025-10-01,MUC,Pilot Line,20000,13876
2025-10-01,GDN,Packaging E,18000,13629
2025-11-01,TLL,SMT Line 1,26000,26447
2025-11-01,TLL,SMT Line 2,24000,22398
2025-11-01,TLL,Assembly A,22000,18412
2025-11-01,KRK,Assembly B,26000,20715
2025-11-01,KRK,Test Cell,18000,12216
2025-11-01,OPO,Assembly C,24000,22744
2025-11-01,OPO,Packaging C,16000,11689
2025-11-01,MUC,Pilot Line,20000,13949
2025-11-01,GDN,Packaging E,18000,13157
2025-12-01,TLL,SMT Line 1,26000,25918
2025-12-01,TLL,SMT Line 2,24000,22535
2025-12-01,TLL,Assembly A,22000,17783
2025-12-01,KRK,Assembly B,26000,19547
2025-12-01,KRK,Test Cell,18000,11889
2025-12-01,OPO,Assembly C,24000,21801
2025-12-01,OPO,Packaging C,16000,11712
2025-12-01,MUC,Pilot Line,20000,13435
2025-12-01,GDN,Packaging E,18000,12668
2026-01-01,TLL,SMT Line 1,26000,26991
2026-01-01,TLL,SMT Line 2,24000,22700
2026-01-01,TLL,Assembly A,22000,18227
2026-01-01,KRK,Assembly B,26000,20318
2026-01-01,KRK,Test Cell,18000,12196
2026-01-01,OPO,Assembly C,24000,22358
2026-01-01,OPO,Packaging C,16000,12067
2026-01-01,MUC,Pilot Line,20000,13433
2026-01-01,GDN,Packaging E,18000,13048
2026-02-01,TLL,SMT Line 1,26000,28259
2026-02-01,TLL,SMT Line 2,24000,23765
2026-02-01,TLL,Assembly A,22000,19070
2026-02-01,KRK,Assembly B,26000,21506
2026-02-01,KRK,Test Cell,18000,12228
2026-02-01,OPO,Assembly C,24000,23260
2026-02-01,OPO,Packaging C,16000,12765
2026-02-01,MUC,Pilot Line,20000,14310
2026-02-01,GDN,Packaging E,18000,13916
2026-03-01,TLL,SMT Line 1,26000,29553
2026-03-01,TLL,SMT Line 2,24000,25346
2026-03-01,TLL,Assembly A,22000,20649
2026-03-01,KRK,Assembly B,26000,23322
2026-03-01,KRK,Test Cell,18000,13222
2026-03-01,OPO,Assembly C,24000,25671
2026-03-01,OPO,Packaging C,16000,13006
2026-03-01,MUC,Pilot Line,20000,15265
2026-03-01,GDN,Packaging E,18000,14934
2026-04-01,TLL,SMT Line 1,26000,32628
2026-04-01,TLL,SMT Line 2,24000,27440
2026-04-01,TLL,Assembly A,22000,21891
2026-04-01,KRK,Assembly B,26000,24275
2026-04-01,KRK,Test Cell,18000,14422
2026-04-01,OPO,Assembly C,24000,26123
2026-04-01,OPO,Packaging C,16000,14207
2026-04-01,MUC,Pilot Line,20000,15733
2026-04-01,GDN,Packaging E,18000,16097
2026-05-01,TLL,SMT Line 1,26000,32339
2026-05-01,TLL,SMT Line 2,24000,27887
2026-05-01,TLL,Assembly A,22000,22906
2026-05-01,KRK,Assembly B,26000,26010
2026-05-01,KRK,Test Cell,18000,14519
2026-05-01,OPO,Assembly C,24000,27223
2026-05-01,OPO,Packaging C,16000,14880
2026-05-01,MUC,Pilot Line,20000,16388
2026-05-01,GDN,Packaging E,18000,16649
2026-06-01,TLL,SMT Line 1,26000,33497
2026-06-01,TLL,SMT Line 2,24000,28823
2026-06-01,TLL,Assembly A,22000,22919
2026-06-01,KRK,Assembly B,26000,25917
2026-06-01,KRK,Test Cell,18000,14867
2026-06-01,OPO,Assembly C,24000,27929
2026-06-01,OPO,Packaging C,16000,14456
2026-06-01,MUC,Pilot Line,20000,17244
2026-06-01,GDN,Packaging E,18000,16230
2026-07-01,TLL,SMT Line 1,26000,32671
2026-07-01,TLL,SMT Line 2,24000,27459
2026-07-01,TLL,Assembly A,22000,21695
2026-07-01,KRK,Assembly B,26000,24864
2026-07-01,KRK,Test Cell,18000,14716
2026-07-01,OPO,Assembly C,24000,26987
2026-07-01,OPO,Packaging C,16000,14931
2026-07-01,MUC,Pilot Line,20000,17208
2026-07-01,GDN,Packaging E,18000,16468
2026-08-01,TLL,SMT Line 1,26000,31042
2026-08-01,TLL,SMT Line 2,24000,26665
2026-08-01,TLL,Assembly A,22000,21626
2026-08-01,KRK,Assembly B,26000,24528
2026-08-01,KRK,Test Cell,18000,14434
2026-08-01,OPO,Assembly C,24000,26543
2026-08-01,OPO,Packaging C,16000,13987
2026-08-01,MUC,Pilot Line,20000,15826
2026-08-01,GDN,Packaging E,18000,15451
2026-09-01,TLL,SMT Line 1,26000,29902
2026-09-01,TLL,SMT Line 2,24000,25097
2026-09-01,TLL,Assembly A,22000,20700
2026-09-01,KRK,Assembly B,26000,23039
2026-09-01,KRK,Test Cell,18000,13681
2026-09-01,OPO,Assembly C,24000,24437
2026-09-01,OPO,Packaging C,16000,13527
2026-09-01,MUC,Pilot Line,20000,14998
2026-09-01,GDN,Packaging E,18000,15010
2026-10-01,TLL,SMT Line 1,26000,27770
2026-10-01,TLL,SMT Line 2,24000,23120
2026-10-01,TLL,Assembly A,22000,18655
2026-10-01,KRK,Assembly B,26000,22046
2026-10-01,KRK,Test Cell,18000,12246
2026-10-01,OPO,Assembly C,24000,23380
2026-10-01,OPO,Packaging C,16000,12218
2026-10-01,MUC,Pilot Line,20000,14128
2026-10-01,GDN,Packaging E,18000,14226
2026-11-01,TLL,SMT Line 1,26000,26452
2026-11-01,TLL,SMT Line 2,24000,23115
2026-11-01,TLL,Assembly A,22000,18077
2026-11-01,KRK,Assembly B,26000,20493
2026-11-01,KRK,Test Cell,18000,11950
2026-11-01,OPO,Assembly C,24000,21728
2026-11-01,OPO,Packaging C,16000,11595
2026-11-01,MUC,Pilot Line,20000,13247
2026-11-01,GDN,Packaging E,18000,13173
2026-12-01,TLL,SMT Line 1,26000,26530
2026-12-01,TLL,SMT Line 2,24000,21771
2026-12-01,TLL,Assembly A,22000,18077
2026-12-01,KRK,Assembly B,26000,20144
2026-12-01,KRK,Test Cell,18000,11727
2026-12-01,OPO,Assembly C,24000,22545
2026-12-01,OPO,Packaging C,16000,11344
2026-12-01,MUC,Pilot Line,20000,13168
2026-12-01,GDN,Packaging E,18000,13370
