date,sku,customer,plant,qty,revenue
2024-07-01,FG001,TechDistro EU,TLL,706,118608
2024-07-01,FG001,HomeServe,TLL,470,78960
2024-08-01,FG001,TechDistro EU,TLL,675,113400
2024-08-01,FG001,HomeServe,TLL,450,75600
2024-09-01,FG001,TechDistro EU,TLL,580,97440
2024-09-01,FG001,HomeServe,TLL,387,65016
2024-10-01,FG001,TechDistro EU,TLL,530,89040
2024-10-01,FG001,HomeServe,TLL,353,59304
2024-11-01,FG001,TechDistro EU,TLL,554,93072
2024-11-01,FG001,HomeServe,TLL,369,61992
2024-12-01,FG001,TechDistro EU,TLL,482,80976
2024-12-01,FG001,HomeServe,TLL,322,54096
2025-01-01,FG001,TechDistro EU,TLL,575,96600
2025-01-01,FG001,HomeServe,TLL,384,64512
2025-02-01,FG001,TechDistro EU,TLL,654,109872
2025-02-01,FG001,HomeServe,TLL,436,73248
2025-03-01,FG001,TechDistro EU,TLL,688,115584
2025-03-01,FG001,HomeServe,TLL,458,76944
2025-04-01,FG001,TechDistro EU,TLL,685,115080
2025-04-01,FG001,HomeServe,TLL,457,76776
2025-05-01,FG001,TechDistro EU,TLL,755,126840
2025-05-01,FG001,HomeServe,TLL,503,84504
2025-06-01,FG001,TechDistro EU,TLL,790,132720
2025-06-01,FG001,HomeServe,TLL,527,88536
2025-07-01,FG001,TechDistro EU,TLL,768,129024
2025-07-01,FG001,HomeServe,TLL,512,86016
2025-08-01,FG001,TechDistro EU,TLL,760,127680
2025-08-01,FG001,HomeServe,TLL,507,85176
2025-09-01,FG001,TechDistro EU,TLL,639,107352
2025-09-01,FG001,HomeServe,TLL,426,71568
2025-10-01,FG001,TechDistro EU,TLL,641,107688
2025-10-01,FG001,HomeServe,TLL,427,71736
2025-11-01,FG001,TechDistro EU,TLL,583,97944
2025-11-01,FG001,HomeServe,TLL,389,65352
2025-12-01,FG001,TechDistro EU,TLL,528,88704
2025-12-01,FG001,HomeServe,TLL,352,59136
2024-07-01,FG002,HomeServe,TLL,541,51936
2024-07-01,FG002,BuildSmart,TLL,361,34656
2024-08-01,FG002,HomeServe,TLL,496,47616
2024-08-01,FG002,BuildSmart,TLL,331,31776
