date,sku,customer,plant,baseline_qty
2023-07-01,SH-100,RetailCo,BER,20601
2023-07-01,SH-140,RetailCo,BER,27468
2023-07-01,IC-220,AutoMfg,KAR,10301
2023-07-01,IC-260,EnergyCo,KAR,8584
2023-07-01,PM-330,TelecomEU,LYO,16023
2023-07-01,SN-410,TelecomEU,LYO,34335
2023-08-01,SH-100,RetailCo,BER,21319
2023-08-01,SH-140,RetailCo,BER,28426
2023-08-01,IC-220,AutoMfg,KAR,10660
2023-08-01,IC-260,EnergyCo,KAR,8883
2023-08-01,PM-330,TelecomEU,LYO,16582
2023-08-01,SN-410,TelecomEU,LYO,35532
2023-09-01,SH-100,RetailCo,BER,21582
2023-09-01,SH-140,RetailCo,BER,28776
2023-09-01,IC-220,AutoMfg,KAR,10791
2023-09-01,IC-260,EnergyCo,KAR,8993
2023-09-01,PM-330,TelecomEU,LYO,16786
2023-09-01,SN-410,TelecomEU,LYO,35970
2023-10-01,SH-100,RetailCo,BER,21319
2023-10-01,SH-140,RetailCo,BER,28426
2023-10-01,IC-220,AutoMfg,KAR,10660
2023-10-01,IC-260,EnergyCo,KAR,8883
2023-10-01,PM-330,TelecomEU,LYO,16582
2023-10-01,SN-410,TelecomEU,LYO,35532
2023-11-01,SH-100,RetailCo,BER,20601
2023-11-01,SH-140,RetailCo,BER,27468
2023-11-01,IC-220,AutoMfg,KAR,10301
2023-11-01,IC-260,EnergyCo,KAR,8584
2023-11-01,PM-330,TelecomEU,LYO,16023
2023-11-01,SN-410,TelecomEU,LYO,34335
2023-12-01,SH-100,RetailCo,BER,19620
2023-12-01,SH-140,RetailCo,BER,26160
2023-12-01,IC-220,AutoMfg,KAR,9810
2023-12-01,IC-260,EnergyCo,KAR,8175
2023-12-01,PM-330,TelecomEU,LYO,15260
2023-12-01,SN-410,TelecomEU,LYO,32700
2024-01-01,SH-100,RetailCo,BER,18639
2024-01-01,SH-140,RetailCo,BER,24852
2024-01-01,IC-220,AutoMfg,KAR,9320
2024-01-01,IC-260,EnergyCo,KAR,7766
2024-01-01,PM-330,TelecomEU,LYO,14497
2024-01-01,SN-410,TelecomEU,LYO,31065
2024-02-01,SH-100,RetailCo,BER,17921
2024-02-01,SH-140,RetailCo,BER,23894
2024-02-01,IC-220,AutoMfg,KAR,8960
2024-02-01,IC-260,EnergyCo,KAR,7467
2024-02-01,PM-330,TelecomEU,LYO,13938
2024-02-01,SN-410,TelecomEU,LYO,29868
2024-03-01,SH-100,RetailCo,BER,17658
2024-03-01,SH-140,RetailCo,BER,23544
2024-03-01,IC-220,AutoMfg,KAR,8829
2024-03-01,IC-260,EnergyCo,KAR,7358
2024-03-01,PM-330,TelecomEU,LYO,13734
2024-03-01,SN-410,TelecomEU,LYO,29430
2024-04-01,SH-100,RetailCo,BER,17921
2024-04-01,SH-140,RetailCo,BER,23894
2024-04-01,IC-220,AutoMfg,KAR,8960
2024-04-01,IC-260,EnergyCo,KAR,7467
2024-04-01,PM-330,TelecomEU,LYO,13938
2024-04-01,SN-410,TelecomEU,LYO,29868
2024-05-01,SH-100,RetailCo,BER,18639
2024-05-01,SH-140,RetailCo,BER,24852
2024-05-01,IC-220,AutoMfg,KAR,9319
2024-05-01,IC-260,EnergyCo,KAR,7766
2024-05-01,PM-330,TelecomEU,LYO,14497
2024-05-01,SN-410,TelecomEU,LYO,31065
2024-06-01,SH-100,RetailCo,BER,19620
2024-06-01,SH-140,RetailCo,BER,26160
2024-06-01,IC-220,AutoMfg,KAR,9810
2024-06-01,IC-260,EnergyCo,KAR,8175
2024-06-01,PM-330,TelecomEU,LYO,15260
2024-06-01,SN-410,TelecomEU,LYO,32700
