date,plant,sku,category,qty,value
2022-12-01,BER,SH-100,RM,18000,180000
2022-12-01,BER,SH-100,WIP,9500,95000
2022-12-01,BER,SH-100,FG,24000,240000
2022-12-01,KAR,IC-220,RM,32000,320000
2022-12-01,KAR,IC-220,WIP,21000,210000
2022-12-01,KAR,IC-220,FG,14000,140000
2022-12-01,LYO,PM-330,RM,15000,150000
2022-12-01,LYO,PM-330,WIP,8000,80000
2022-12-01,LYO,PM-330,FG,6000,60000
2023-03-01,BER,SH-100,RM,18720,187200
2023-03-01,BER,SH-100,WIP,9880,98800
2023-03-01,BER,SH-100,FG,24960,249600
2023-03-01,KAR,IC-220,RM,33280,332800
2023-03-01,KAR,IC-220,WIP,21840,218400
2023-03-01,KAR,IC-220,FG,14560,145600
2023-03-01,LYO,PM-330,RM,15600,156000
2023-03-01,LYO,PM-330,WIP,8320,83200
2023-03-01,LYO,PM-330,FG,6240,62400
2023-06-01,BER,SH-100,RM,19440,194400
2023-06-01,BER,SH-100,WIP,10260,102600
2023-06-01,BER,SH-100,FG,25920,259200
2023-06-01,KAR,IC-220,RM,34560,345600
2023-06-01,KAR,IC-220,WIP,22680,226800
2023-06-01,KAR,IC-220,FG,15120,151200
2023-06-01,LYO,PM-330,RM,16200,162000
2023-06-01,LYO,PM-330,WIP,8640,86400
2023-06-01,LYO,PM-330,FG,6480,64800
