date,sku,customer,plant,qty,revenue
2022-07-01,SH-100,RetailCo,BER,18900,1606500
2022-07-01,SH-140,RetailCo,BER,25200,1134000
2022-07-01,IC-220,AutoMfg,KAR,9450,1323000
2022-07-01,IC-260,EnergyCo,KAR,7875,866250
2022-07-01,PM-330,TelecomEU,LYO,14700,882000
2022-07-01,SN-410,TelecomEU,LYO,31500,693000
2022-08-01,SH-100,RetailCo,BER,19640,1669400
2022-08-01,SH-140,RetailCo,BER,26187,1178415
2022-08-01,IC-220,AutoMfg,KAR,9820,1374800
2022-08-01,IC-260,EnergyCo,KAR,8183,900130
2022-08-01,PM-330,TelecomEU,LYO,15276,916560
2022-08-01,SN-410,TelecomEU,LYO,32734,720148
2022-09-01,SH-100,RetailCo,BER,19965,1697025
2022-09-01,SH-140,RetailCo,BER,26620,1197900
2022-09-01,IC-220,AutoMfg,KAR,9983,1397620
2022-09-01,IC-260,EnergyCo,KAR,8319,915090
2022-09-01,PM-330,TelecomEU,LYO,15528,931680
2022-09-01,SN-410,TelecomEU,LYO,33275,732050
2022-10-01,SH-100,RetailCo,BER,19803,1683255
2022-10-01,SH-140,RetailCo,BER,26404,1188180
2022-10-01,IC-220,AutoMfg,KAR,9902,1386280
2022-10-01,IC-260,EnergyCo,KAR,8251,907610
2022-10-01,PM-330,TelecomEU,LYO,15403,924180
2022-10-01,SN-410,TelecomEU,LYO,33006,726132
2022-12-01,SH-100,RetailCo,BER,18375,1561875
2022-12-01,SH-140,RetailCo,BER,24500,1102500
2022-12-01,IC-220,AutoMfg,KAR,9188,1286320
2022-12-01,IC-260,EnergyCo,KAR,7656,842160
2022-12-01,PM-330,TelecomEU,LYO,14292,857520
2022-12-01,SN-410,TelecomEU,LYO,30625,673750
2023-01-01,SH-100,RetailCo,BER,17528,1489880
2023-01-01,SH-140,RetailCo,BER,23370,1051650
2023-01-01,IC-220,AutoMfg,KAR,8764,1226960
2023-01-01,IC-260,EnergyCo,KAR,7303,803330
2023-01-01,PM-330,TelecomEU,LYO,13633,817980
2023-01-01,SN-410,TelecomEU,LYO,29213,642686
2023-02-01,SH-100,RetailCo,BER,16921,1438285
2023-02-01,SH-140,RetailCo,BER,22561,1015245
2023-02-01,IC-220,AutoMfg,KAR,8460,1184400
2023-02-01,IC-260,EnergyCo,KAR,7050,775500
2023-02-01,PM-330,TelecomEU,LYO,13161,789660
2023-02-01,SN-410,TelecomEU,LYO,28201,620422
2023-03-01,SH-100,RetailCo,BER,16740,1422900
2023-03-01,SH-140,RetailCo,BER,22320,1004400
2023-03-01,IC-220,AutoMfg,KAR,8370,1171800
2023-03-01,IC-260,EnergyCo,KAR,6975,767250
2023-03-01,PM-330,TelecomEU,LYO,13020,781200
2023-03-01,SN-410,TelecomEU,LYO,27900,613800
2023-04-01,SH-100,RetailCo,BER,17058,1449930
2023-04-01,SH-140,RetailCo,BER,22744,1023480
2023-04-01,IC-220,AutoMfg,KAR,8529,1194060
2023-04-01,IC-260,EnergyCo,KAR,7107,781770
2023-04-01,PM-330,TelecomEU,LYO,13267,796020
2023-04-01,SN-410,TelecomEU,LYO,28429,625438
2023-05-01,SH-100,RetailCo,BER,17813,1514105
2023-05-01,SH-140,RetailCo,BER,23750,1068750
2023-05-01,IC-220,AutoMfg,KAR,8906,1246840
2023-05-01,IC-260,EnergyCo,KAR,7422,816420
2023-05-01,PM-330,TelecomEU,LYO,13854,831240
2023-05-01,SN-410,TelecomEU,LYO,29688,653136
2023-06-01,SH-100,RetailCo,BER,18825,1600125
2023-06-01,SH-140,RetailCo,BER,25100,1129500
2023-06-01,IC-220,AutoMfg,KAR,9413,1317820
2023-06-01,IC-260,EnergyCo,KAR,7844,862840
2023-06-01,PM-330,TelecomEU,LYO,14642,878520
2023-06-01,SN-410,TelecomEU,LYO,31375,690250
