date,plant,resource,available_min,required_min
2023-01-01,MIL,Machining-1,28800,33578
2023-01-01,MIL,Assembly-1,28800,28737
2023-01-01,TUR,Clean-Assembly,28800,24926
2023-01-01,BOL,Kitting-1,25200,19364
2023-01-01,BOL,Test-1,25200,16686
2023-02-01,MIL,Machining-1,28800,34294
2023-02-01,MIL,Assembly-1,28800,29350
2023-02-01,TUR,Clean-Assembly,28800,25457
2023-02-01,BOL,Kitting-1,25200,19777
2023-02-01,BOL,Test-1,25200,17042
2023-03-01,MIL,Machining-1,28800,34556
2023-03-01,MIL,Assembly-1,28800,29574
2023-03-01,TUR,Clean-Assembly,28800,25652
2023-03-01,BOL,Kitting-1,25200,19928
2023-03-01,BOL,Test-1,25200,17172
2023-04-01,MIL,Machining-1,28800,34294
2023-04-01,MIL,Assembly-1,28800,29350
2023-04-01,TUR,Clean-Assembly,28800,25457
2023-04-01,BOL,Kitting-1,25200,19777
2023-04-01,BOL,Test-1,25200,17042
2023-05-01,MIL,Machining-1,28800,33578
2023-05-01,MIL,Assembly-1,28800,28737
2023-05-01,TUR,Clean-Assembly,28800,24926
2023-05-01,BOL,Kitting-1,25200,19364
2023-05-01,BOL,Test-1,25200,16686
2023-06-01,MIL,Machining-1,28800,32600
2023-06-01,MIL,Assembly-1,28800,27900
2023-06-01,TUR,Clean-Assembly,28800,24200
2023-06-01,BOL,Kitting-1,25200,18800
2023-06-01,BOL,Test-1,25200,16200
2023-07-01,MIL,Machining-1,28800,31622
2023-07-01,MIL,Assembly-1,28800,27063
2023-07-01,TUR,Clean-Assembly,28800,23474
2023-07-01,BOL,Kitting-1,25200,18236
2023-07-01,BOL,Test-1,25200,15714
2023-08-01,MIL,Machining-1,28800,30906
2023-08-01,MIL,Assembly-1,28800,26450
2023-08-01,TUR,Clean-Assembly,28800,22943
2023-08-01,BOL,Kitting-1,25200,17823
2023-08-01,BOL,Test-1,25200,15358
2023-09-01,MIL,Machining-1,28800,30644
2023-09-01,MIL,Assembly-1,28800,26226
2023-09-01,TUR,Clean-Assembly,28800,22748
2023-09-01,BOL,Kitting-1,25200,17672
2023-09-01,BOL,Test-1,25200,15228
2023-10-01,MIL,Machining-1,28800,30906
2023-10-01,MIL,Assembly-1,28800,26450
2023-10-01,TUR,Clean-Assembly,28800,22943
2023-10-01,BOL,Kitting-1,25200,17823
2023-10-01,BOL,Test-1,25200,15358
2023-11-01,MIL,Machining-1,28800,31622
2023-11-01,MIL,Assembly-1,28800,27063
2023-11-01,TUR,Clean-Assembly,28800,23474
2023-11-01,BOL,Kitting-1,25200,18236
2023-11-01,BOL,Test-1,25200,15714
2023-12-01,MIL,Machining-1,28800,32600
2023-12-01,MIL,Assembly-1,28800,27900
2023-12-01,TUR,Clean-Assembly,28800,24200
2023-12-01,BOL,Kitting-1,25200,18800
2023-12-01,BOL,Test-1,25200,16200
2024-01-01,MIL,Machining-1,28800,33578
2024-01-01,MIL,Assembly-1,28800,28737
2024-01-01,TUR,Clean-Assembly,28800,24926
2024-01-01,BOL,Kitting-1,25200,19364
2024-01-01,BOL,Test-1,25200,16686
2024-02-01,MIL,Machining-1,28800,34294
2024-02-01,MIL,Assembly-1,28800,29350
2024-02-01,TUR,Clean-Assembly,28800,25457
2024-02-01,BOL,Kitting-1,25200,19777
2024-02-01,BOL,Test-1,25200,17042
2024-03-01,MIL,Machining-1,28800,34556
2024-03-01,MIL,Assembly-1,28800,29574
2024-03-01,TUR,Clean-Assembly,28800,25652
2024-03-01,BOL,Kitting-1,25200,19928
2024-03-01,BOL,Test-1,25200,17172
2024-04-01,MIL,Machining-1,28800,34294
2024-04-01,MIL,Assembly-1,28800,29350
2024-04-01,TUR,Clean-Assembly,28800,25457
2024-04-01,BOL,Kitting-1,25200,19777
2024-04-01,BOL,Test-1,25200,17042
2024-05-01,MIL,Machining-1,28800,33578
2024-05-01,MIL,Assembly-1,28800,28737
2024-05-01,TUR,Clean-Assembly,28800,24926
2024-05-01,BOL,Kitting-1,25200,19364
2024-05-01,BOL,Test-1,25200,16686
2024-06-01,MIL,Machining-1,28800,32600
2024-06-01,MIL,Assembly-1,28800,27900
2024-06-01,TUR,Clean-Assembly,28800,24200
2024-06-01,BOL,Kitting-1,25200,18800
2024-06-01,BOL,Test-1,25200,16200
