date,sku,customer,plant,baseline_qty
2024-07-01,CP-100,AcquaCivile,MIL,1820
2024-07-01,CP-140,AcquaCivile,MIL,1459
2024-07-01,VC-200,PharmaNord,TUR,565
2024-07-01,VC-240,ChemItalia,TUR,417
2024-07-01,SP-300,ServiceEU,BOL,1968
2024-07-01,SP-340,ServiceEU,BOL,1313
2024-07-01,BS-400,EdiliziaSpA,BOL,279
2024-08-01,CP-100,AcquaCivile,MIL,1742
2024-08-01,CP-140,AcquaCivile,MIL,1400
2024-08-01,VC-200,PharmaNord,TUR,555
2024-08-01,VC-240,ChemItalia,TUR,412
2024-08-01,SP-300,ServiceEU,BOL,1734
2024-08-01,SP-340,ServiceEU,BOL,1143
2024-08-01,BS-400,EdiliziaSpA,BOL,237
2024-09-01,CP-100,AcquaCivile,MIL,1717
2024-09-01,CP-140,AcquaCivile,MIL,1382
2024-09-01,VC-200,PharmaNord,TUR,562
2024-09-01,VC-240,ChemItalia,TUR,419
2024-09-01,SP-300,ServiceEU,BOL,1647
2024-09-01,SP-340,ServiceEU,BOL,1082
2024-09-01,BS-400,EdiliziaSpA,BOL,224
2024-10-01,CP-100,AcquaCivile,MIL,1756
2024-10-01,CP-140,AcquaCivile,MIL,1417
2024-10-01,VC-200,PharmaNord,TUR,590
2024-10-01,VC-240,ChemItalia,TUR,441
2024-10-01,SP-300,ServiceEU,BOL,1734
2024-10-01,SP-340,ServiceEU,BOL,1143
2024-10-01,BS-400,EdiliziaSpA,BOL,243
2024-11-01,CP-100,AcquaCivile,MIL,1849
2024-11-01,CP-140,AcquaCivile,MIL,1495
2024-11-01,VC-200,PharmaNord,TUR,637
2024-11-01,VC-240,ChemItalia,TUR,479
2024-11-01,SP-300,ServiceEU,BOL,1968
2024-11-01,SP-340,ServiceEU,BOL,1313
2024-11-01,BS-400,EdiliziaSpA,BOL,289
2024-12-01,CP-100,AcquaCivile,MIL,1975
2024-12-01,CP-140,AcquaCivile,MIL,1600
2024-12-01,VC-200,PharmaNord,TUR,698
2024-12-01,VC-240,ChemItalia,TUR,527
2024-12-01,SP-300,ServiceEU,BOL,2288
2024-12-01,SP-340,ServiceEU,BOL,1545
2024-12-01,BS-400,EdiliziaSpA,BOL,355
2025-01-01,CP-100,AcquaCivile,MIL,2102
2025-01-01,CP-140,AcquaCivile,MIL,1706
2025-01-01,VC-200,PharmaNord,TUR,762
2025-01-01,VC-240,ChemItalia,TUR,579
2025-01-01,SP-300,ServiceEU,BOL,2608
2025-01-01,SP-340,ServiceEU,BOL,1777
2025-01-01,BS-400,EdiliziaSpA,BOL,421
2025-02-01,CP-100,AcquaCivile,MIL,2198
2025-02-01,CP-140,AcquaCivile,MIL,1787
2025-02-01,VC-200,PharmaNord,TUR,817
2025-02-01,VC-240,ChemItalia,TUR,624
2025-02-01,SP-300,ServiceEU,BOL,2842
2025-02-01,SP-340,ServiceEU,BOL,1947
2025-02-01,BS-400,EdiliziaSpA,BOL,472
2025-03-01,CP-100,AcquaCivile,MIL,2239
2025-03-01,CP-140,AcquaCivile,MIL,1824
2025-03-01,VC-200,PharmaNord,TUR,853
2025-03-01,VC-240,ChemItalia,TUR,654
2025-03-01,SP-300,ServiceEU,BOL,2929
2025-03-01,SP-340,ServiceEU,BOL,2009
2025-03-01,BS-400,EdiliziaSpA,BOL,494
2025-04-01,CP-100,AcquaCivile,MIL,2216
2025-04-01,CP-140,AcquaCivile,MIL,1809
2025-04-01,VC-200,PharmaNord,TUR,867
2025-04-01,VC-240,ChemItalia,TUR,668
2025-04-01,SP-300,ServiceEU,BOL,2842
2025-04-01,SP-340,ServiceEU,BOL,1947
2025-04-01,BS-400,EdiliziaSpA,BOL,481
2025-05-01,CP-100,AcquaCivile,MIL,2136
2025-05-01,CP-140,AcquaCivile,MIL,1747
2025-05-01,VC-200,PharmaNord,TUR,858
2025-05-01,VC-240,ChemItalia,TUR,664
2025-05-01,SP-300,ServiceEU,BOL,2608
2025-05-01,SP-340,ServiceEU,BOL,1777
2025-05-01,BS-400,EdiliziaSpA,BOL,438
2025-06-01,CP-100,AcquaCivile,MIL,2022
2025-06-01,CP-140,AcquaCivile,MIL,1659
2025-06-01,VC-200,PharmaNord,TUR,833
2025-06-01,VC-240,ChemItalia,TUR,648
2025-06-01,SP-300,ServiceEU,BOL,2288
2025-06-01,SP-340,ServiceEU,BOL,1545
2025-06-01,BS-400,EdiliziaSpA,BOL,376
