date,plant,sku,category,qty,value
2023-12-01,MIL,CP-100,RM,900,1782000
2023-12-01,MIL,CP-100,WIP,260,514000
2023-12-01,MIL,CP-100,FG,320,768000
2023-12-01,TUR,VC-200,RM,120,576000
2023-12-01,TUR,VC-200,WIP,40,192000
2023-12-01,TUR,VC-200,FG,28,246000
2023-12-01,BOL,SP-300,RM,4000,600000
2023-12-01,BOL,SP-300,WIP,600,90000
2023-12-01,BOL,SP-300,FG,2600,832000
2023-12-01,BOL,SPK-OLD,FG,3200,384000
2024-03-01,MIL,CP-100,RM,900,1782000
2024-03-01,MIL,CP-100,WIP,260,514000
2024-03-01,MIL,CP-100,FG,326,783360
2024-03-01,TUR,VC-200,RM,120,576000
2024-03-01,TUR,VC-200,WIP,40,192000
2024-03-01,TUR,VC-200,FG,29,250920
2024-03-01,BOL,SP-300,RM,4000,600000
2024-03-01,BOL,SP-300,WIP,600,90000
2024-03-01,BOL,SP-300,FG,2652,848640
2024-03-01,BOL,SPK-OLD,FG,3264,391680
2024-06-01,MIL,CP-100,RM,900,1782000
2024-06-01,MIL,CP-100,WIP,260,514000
2024-06-01,MIL,CP-100,FG,333,798720
2024-06-01,TUR,VC-200,RM,120,576000
2024-06-01,TUR,VC-200,WIP,40,192000
2024-06-01,TUR,VC-200,FG,29,255840
2024-06-01,BOL,SP-300,RM,4000,600000
2024-06-01,BOL,SP-300,WIP,600,90000
2024-06-01,BOL,SP-300,FG,2704,865280
2024-06-01,BOL,SPK-OLD,FG,3328,399360
