date,plant,resource,available_min,required_min
2022-07-01,BWL,Extrusion-1,28800,28978
2022-07-01,BWL,Extrusion-2,28800,34110
2022-07-01,CNS,Moulding-1,21600,20316
2022-07-01,SND,Assembly-1,25200,20423
2022-07-01,SBD,Extrusion-3,18000,15825
2022-08-01,BWL,Extrusion-1,28800,29268
2022-08-01,BWL,Extrusion-2,28800,34452
2022-08-01,CNS,Moulding-1,21600,20520
2022-08-01,SND,Assembly-1,25200,20628
2022-08-01,SBD,Extrusion-3,18000,15984
2022-09-01,BWL,Extrusion-1,28800,28978
2022-09-01,BWL,Extrusion-2,28800,34110
2022-09-01,CNS,Moulding-1,21600,20316
2022-09-01,SND,Assembly-1,25200,20423
2022-09-01,SBD,Extrusion-3,18000,15825
2022-10-01,BWL,Extrusion-1,28800,28184
2022-10-01,BWL,Extrusion-2,28800,33176
2022-10-01,CNS,Moulding-1,21600,19760
2022-10-01,SND,Assembly-1,25200,19864
2022-10-01,SBD,Extrusion-3,18000,15392
2022-11-01,BWL,Extrusion-1,28800,27100
2022-11-01,BWL,Extrusion-2,28800,31900
2022-11-01,CNS,Moulding-1,21600,19000
2022-11-01,SND,Assembly-1,25200,19100
2022-11-01,SBD,Extrusion-3,18000,14800
2022-12-01,BWL,Extrusion-1,28800,26016
2022-12-01,BWL,Extrusion-2,28800,30624
2022-12-01,CNS,Moulding-1,21600,18240
2022-12-01,SND,Assembly-1,25200,18336
2022-12-01,SBD,Extrusion-3,18000,14208
2023-01-01,BWL,Extrusion-1,28800,25222
2023-01-01,BWL,Extrusion-2,28800,29690
2023-01-01,CNS,Moulding-1,21600,17684
2023-01-01,SND,Assembly-1,25200,17777
2023-01-01,SBD,Extrusion-3,18000,13775
2023-02-01,BWL,Extrusion-1,28800,24932
2023-02-01,BWL,Extrusion-2,28800,29348
2023-02-01,CNS,Moulding-1,21600,17480
2023-02-01,SND,Assembly-1,25200,17572
2023-02-01,SBD,Extrusion-3,18000,13616
2023-03-01,BWL,Extrusion-1,28800,25222
2023-03-01,BWL,Extrusion-2,28800,29690
2023-03-01,CNS,Moulding-1,21600,17684
2023-03-01,SND,Assembly-1,25200,17777
2023-03-01,SBD,Extrusion-3,18000,13775
2023-04-01,BWL,Extrusion-1,28800,26016
2023-04-01,BWL,Extrusion-2,28800,30624
2023-04-01,CNS,Moulding-1,21600,18240
2023-04-01,SND,Assembly-1,25200,18336
2023-04-01,SBD,Extrusion-3,18000,14208
2023-05-01,BWL,Extrusion-1,28800,27100
2023-05-01,BWL,Extrusion-2,28800,31900
2023-05-01,CNS,Moulding-1,21600,19000
2023-05-01,SND,Assembly-1,25200,19100
2023-05-01,SBD,Extrusion-3,18000,14800
2023-06-01,BWL,Extrusion-1,28800,28184
2023-06-01,BWL,Extrusion-2,28800,33176
2023-06-01,CNS,Moulding-1,21600,19760
2023-06-01,SND,Assembly-1,25200,19864
2023-06-01,SBD,Extrusion-3,18000,15392
