date,sku,customer,plant,baseline_qty
2023-07-01,AL-1024,TML,BWL,47604
2023-07-01,DE-4421,MSIL,MNR,35137
2023-07-01,FR-0912,VW,BWL,20969
2023-07-01,MNR-202,TATA,MNR,30036
2023-07-01,MNR-215,M&M,MNR,24936
2023-07-01,NL-0571,RNAIPL,CNS,22102
2023-08-01,AL-1024,TML,BWL,48082
2023-08-01,DE-4421,MSIL,MNR,35489
2023-08-01,FR-0912,VW,BWL,21179
2023-08-01,MNR-202,TATA,MNR,30337
2023-08-01,MNR-215,M&M,MNR,25186
2023-08-01,NL-0571,RNAIPL,CNS,22324
2023-09-01,AL-1024,TML,BWL,47604
2023-09-01,DE-4421,MSIL,MNR,35137
2023-09-01,FR-0912,VW,BWL,20969
2023-09-01,MNR-202,TATA,MNR,30036
2023-09-01,MNR-215,M&M,MNR,24936
2023-09-01,NL-0571,RNAIPL,CNS,22102
2023-10-01,AL-1024,TML,BWL,46301
2023-10-01,DE-4421,MSIL,MNR,34174
2023-10-01,FR-0912,VW,BWL,20394
2023-10-01,MNR-202,TATA,MNR,29214
2023-10-01,MNR-215,M&M,MNR,24253
2023-10-01,NL-0571,RNAIPL,CNS,21497
2023-11-01,AL-1024,TML,BWL,44520
2023-11-01,DE-4421,MSIL,MNR,32860
2023-11-01,FR-0912,VW,BWL,19610
2023-11-01,MNR-202,TATA,MNR,28090
2023-11-01,MNR-215,M&M,MNR,23320
2023-11-01,NL-0571,RNAIPL,CNS,20670
2023-12-01,AL-1024,TML,BWL,42739
2023-12-01,DE-4421,MSIL,MNR,31546
2023-12-01,FR-0912,VW,BWL,18826
2023-12-01,MNR-202,TATA,MNR,26966
2023-12-01,MNR-215,M&M,MNR,22387
2023-12-01,NL-0571,RNAIPL,CNS,19843
2024-01-01,AL-1024,TML,BWL,41436
2024-01-01,DE-4421,MSIL,MNR,30583
2024-01-01,FR-0912,VW,BWL,18251
2024-01-01,MNR-202,TATA,MNR,26144
2024-01-01,MNR-215,M&M,MNR,21704
2024-01-01,NL-0571,RNAIPL,CNS,19238
2024-02-01,AL-1024,TML,BWL,40958
2024-02-01,DE-4421,MSIL,MNR,30231
2024-02-01,FR-0912,VW,BWL,18041
2024-02-01,MNR-202,TATA,MNR,25843
2024-02-01,MNR-215,M&M,MNR,21454
2024-02-01,NL-0571,RNAIPL,CNS,19016
2024-03-01,AL-1024,TML,BWL,41436
2024-03-01,DE-4421,MSIL,MNR,30583
2024-03-01,FR-0912,VW,BWL,18251
2024-03-01,MNR-202,TATA,MNR,26144
2024-03-01,MNR-215,M&M,MNR,21704
2024-03-01,NL-0571,RNAIPL,CNS,19238
2024-04-01,AL-1024,TML,BWL,42739
2024-04-01,DE-4421,MSIL,MNR,31546
2024-04-01,FR-0912,VW,BWL,18826
2024-04-01,MNR-202,TATA,MNR,26966
2024-04-01,MNR-215,M&M,MNR,22387
2024-04-01,NL-0571,RNAIPL,CNS,19843
2024-05-01,AL-1024,TML,BWL,44520
2024-05-01,DE-4421,MSIL,MNR,32860
2024-05-01,FR-0912,VW,BWL,19610
2024-05-01,MNR-202,TATA,MNR,28090
2024-05-01,MNR-215,M&M,MNR,23320
2024-05-01,NL-0571,RNAIPL,CNS,20670
2024-06-01,AL-1024,TML,BWL,46301
2024-06-01,DE-4421,MSIL,MNR,34174
2024-06-01,FR-0912,VW,BWL,20394
2024-06-01,MNR-202,TATA,MNR,29214
2024-06-01,MNR-215,M&M,MNR,24253
2024-06-01,NL-0571,RNAIPL,CNS,21497
