date,plant,sku,category,qty,value
2022-12-01,BWL,AL-1024,RM,53400,5340000
2022-12-01,BWL,AL-1024,WIP,57500,5750000
2022-12-01,BWL,AL-1024,FG,61600,6160000
2022-12-01,CNS,NL-0571,RM,10200,1020000
2022-12-01,CNS,NL-0571,WIP,39600,3960000
2022-12-01,CNS,NL-0571,FG,2700,270000
2022-12-01,SBD,MNR-215,RM,182500,18250000
2022-12-01,SBD,MNR-215,WIP,18900,1890000
2022-12-01,SBD,MNR-215,FG,1100,110000
2023-03-01,BWL,AL-1024,RM,55002,5500200
2023-03-01,BWL,AL-1024,WIP,59225,5922500
2023-03-01,BWL,AL-1024,FG,63448,6344800
2023-03-01,CNS,NL-0571,RM,10506,1050600
2023-03-01,CNS,NL-0571,WIP,40788,4078800
2023-03-01,CNS,NL-0571,FG,2781,278100
2023-03-01,SBD,MNR-215,RM,187975,18797500
2023-03-01,SBD,MNR-215,WIP,19467,1946700
2023-03-01,SBD,MNR-215,FG,1133,113300
2023-06-01,BWL,AL-1024,RM,56604,5660400
2023-06-01,BWL,AL-1024,WIP,60950,6095000
2023-06-01,BWL,AL-1024,FG,65296,6529600
2023-06-01,CNS,NL-0571,RM,10812,1081200
2023-06-01,CNS,NL-0571,WIP,41976,4197600
2023-06-01,CNS,NL-0571,FG,2862,286200
2023-06-01,SBD,MNR-215,RM,193450,19345000
2023-06-01,SBD,MNR-215,WIP,20034,2003400
2023-06-01,SBD,MNR-215,FG,1166,116600
