date,sku,customer,plant,qty,revenue
2022-07-01,AL-1024,TML,BWL,44910,2335320
2022-07-01,DE-4421,MSIL,MNR,33148,2452952
2022-07-01,FR-0912,VW,BWL,19782,1641906
2022-07-01,MNR-202,TATA,MNR,28336,2011856
2022-07-01,MNR-215,M&M,MNR,23524,1129152
2022-07-01,NL-0571,RNAIPL,CNS,20851,1271911
2022-08-01,AL-1024,TML,BWL,45511,2366572
2022-08-01,DE-4421,MSIL,MNR,33592,2485808
2022-08-01,FR-0912,VW,BWL,20047,1663901
2022-08-01,MNR-202,TATA,MNR,28715,2038765
2022-08-01,MNR-215,M&M,MNR,23839,1144272
2022-08-01,NL-0571,RNAIPL,CNS,21130,1288930
2022-09-01,AL-1024,TML,BWL,45209,2350868
2022-09-01,DE-4421,MSIL,MNR,33369,2469306
2022-09-01,FR-0912,VW,BWL,19914,1652862
2022-09-01,MNR-202,TATA,MNR,28525,2025275
2022-09-01,MNR-215,M&M,MNR,23681,1136688
2022-09-01,NL-0571,RNAIPL,CNS,20990,1280390
2022-10-01,AL-1024,TML,BWL,44117,2294084
2022-10-01,DE-4421,MSIL,MNR,32562,2409588
2022-10-01,FR-0912,VW,BWL,19432,1612856
2022-10-01,MNR-202,TATA,MNR,27836,1976356
2022-10-01,MNR-215,M&M,MNR,23109,1109232
2022-10-01,NL-0571,RNAIPL,CNS,20483,1249463
2022-11-01,AL-1024,TML,BWL,42560,2213120
2022-11-01,DE-4421,MSIL,MNR,31413,2324562
2022-11-01,FR-0912,VW,BWL,18747,1556001
2022-11-01,MNR-202,TATA,MNR,26853,1906563
2022-11-01,MNR-215,M&M,MNR,22293,1070064
2022-11-01,NL-0571,RNAIPL,CNS,19760,1205360
2022-12-01,AL-1024,TML,BWL,40992,2131584
2022-12-01,DE-4421,MSIL,MNR,30256,2238944
2022-12-01,FR-0912,VW,BWL,18056,1498648
2022-12-01,MNR-202,TATA,MNR,25864,1836344
2022-12-01,MNR-215,M&M,MNR,21472,1030656
2022-12-01,NL-0571,RNAIPL,CNS,19032,1160952
2023-01-01,AL-1024,TML,BWL,39872,2073344
2023-01-01,DE-4421,MSIL,MNR,29429,2177746
2023-01-01,FR-0912,VW,BWL,17563,1457729
2023-01-01,MNR-202,TATA,MNR,25157,1786147
2023-01-01,MNR-215,M&M,MNR,20885,1002480
2023-01-01,NL-0571,RNAIPL,CNS,18512,1129232
2023-02-01,AL-1024,TML,BWL,39542,2056184
2023-02-01,DE-4421,MSIL,MNR,29185,2159690
2023-02-01,FR-0912,VW,BWL,17417,1445611
2023-02-01,MNR-202,TATA,MNR,24949,1771379
2023-02-01,MNR-215,M&M,MNR,20712,994176
2023-02-01,NL-0571,RNAIPL,CNS,18359,1119899
2023-03-01,AL-1024,TML,BWL,40133,2086916
2023-03-01,DE-4421,MSIL,MNR,29622,2192028
2023-03-01,MNR-202,TATA,MNR,25322,1797862
2023-03-01,MNR-215,M&M,MNR,21022,1009056
2023-03-01,NL-0571,RNAIPL,CNS,18633,1136613
2023-04-01,AL-1024,TML,BWL,41530,2159560
2023-04-01,DE-4421,MSIL,MNR,30653,2268322
2023-04-01,FR-0912,VW,BWL,18293,1518319
2023-04-01,MNR-202,TATA,MNR,26203,1860413
2023-04-01,MNR-215,M&M,MNR,21754,1044192
2023-04-01,NL-0571,RNAIPL,CNS,19282,1176202
2023-05-01,AL-1024,TML,BWL,43400,2256800
2023-05-01,DE-4421,MSIL,MNR,32033,2370442
2023-05-01,FR-0912,VW,BWL,19117,1586711
2023-05-01,MNR-202,TATA,MNR,27383,1944193
2023-05-01,MNR-215,M&M,MNR,22733,1091184
2023-05-01,NL-0571,RNAIPL,CNS,20150,1229150
2023-06-01,AL-1024,TML,BWL,45282,2354664
2023-06-01,DE-4421,MSIL,MNR,33422,2473228
2023-06-01,FR-0912,VW,BWL,19945,1655435
2023-06-01,MNR-202,TATA,MNR,28571,2028541
2023-06-01,MNR-215,M&M,MNR,23719,1138512
2023-06-01,NL-0571,RNAIPL,CNS,21024,1282464
